iter	Passed	Remaining
1136	33076	4741
1137	33107	4713
1138	33139	4684
1139	33169	4655
1140	33196	4626
1141	33226	4597
1142	33254	4567
1143	33283	4538
1144	33311	4509
1145	33340	4480
1146	33368	4451
1147	33396	4421
1148	33425	4392
1149	33452	4363
1150	33481	4334
1151	33509	4305
1152	33538	4276
1153	33568	4246
1154	33596	4217
1155	33625	4188
1156	33658	4160
1157	33687	4130
1158	33715	4101
1159	33744	4072
1160	33772	4043
1161	33803	4014
1162	33832	3985
1163	33861	3956
1164	33890	3927
1165	33918	3898
1166	33947	3868
1167	33975	3839
1168	34003	3810
1169	34034	3781
1170	34063	3752
1171	34092	3723
1172	34120	3694
1173	34150	3665
1174	34180	3636
1175	34208	3607
1176	34236	3577
1177	34265	3548
1178	34293	3519
1179	34321	3490
1180	34350	3461
1181	34377	3431
1182	34405	3402
1183	34434	3373
1184	34463	3344
1185	34492	3315
1186	34520	3286
1187	34549	3257
1188	34577	3228
1189	34610	3199
1190	34641	3170
1191	34674	3141
1192	34706	3112
1193	34735	3083
1194	34763	3054
1195	34792	3025
1196	34820	2996
1197	34849	2967
1198	34876	2937
1199	34906	2908
1200	34935	2879
1201	34963	2850
1202	34991	2821
1203	35020	2792
1204	35048	2763
1205	35076	2734
1206	35104	2704
1207	35134	2675
1208	35163	2646
1209	35195	2617
1210	35223	2588
1211	35251	2559
1212	35279	2530
1213	35308	2501
1214	35336	2472
1215	35367	2443
1216	35396	2414
1217	35425	2384
1218	35453	2355
1219	35482	2326
1220	35510	2297
1221	35538	2268
1222	35567	2239
1223	35596	2210
1224	35625	2181
1225	35652	2151
1226	35682	2122
1227	35713	2093
1228	35741	2064
1229	35769	2035
1230	35800	2006
1231	35829	1977
1232	35859	1948
1233	35888	1919
1234	35917	1890
1235	35945	1861
1236	35975	1832
1237	36003	1803
1238	36031	1773
1239	36061	1744
1240	36091	1715
1241	36120	1686
1242	36148	1657
1243	36176	1628
1244	36208	1599
1245	36237	1570
1246	36265	1541
1247	36294	1512
1248	36323	1483
1249	36351	1454
1250	36379	1424
1251	36407	1395
1252	36436	1366
1253	36463	1337
1254	36492	1308
1255	36522	1279
1256	36550	1250
1257	36578	1221
1258	36606	1192
1259	36634	1163
1260	36662	1133
1261	36693	1104
1262	36723	1075
1263	36753	1046
1264	36784	1017
1265	36813	988
1266	36841	959
1267	36870	930
1268	36899	901
1269	36927	872
1270	36956	843
1271	36985	814
1272	37016	785
1273	37044	756
1274	37073	726
1275	37101	697
1276	37129	668
1277	37158	639
1278	37188	610
1279	37219	581
1280	37250	552
1281	37278	523
1282	37306	494
1283	37335	465
1284	37364	436
1285	37392	407
1286	37420	377
1287	37449	348
1288	37478	319
1289	37508	290
1290	37535	261
1291	37564	232
1292	37593	203
1293	37621	174
1294	37651	145
1295	37683	116
1296	37715	87
1297	37744	58
1298	37772	29
1299	37801	0
